"Timestamp","Nummer van gebruiker: (dit vullen we zelf in)","Welke cijfer geef je de eerste suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de tweede suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de derde suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de vierde suggestie?","Kan je uitleggen waarom?","Welke techniek vind je het best en waarom?"
"2023/12/14 12:38:29 pm CET","1","5: Heel goed","Ik gaf aan me best overwhelmed te voelen door hoe hectisch m'n leven op het moment is, en dit nummer gaat over hoe snel de tijd voorbij gaat, en dat voel ik wel","4: Goed","Hij lijkt wel diep. ik interpreteer de tekst toch wel persoonlijk op een manier.","2: Slecht","Het gaat over een verliefdheid, en ik heb n iet aangegeven verliefd te zijn of veel over een bepaald iemand na te denken.","1: Heel slecht","Dit gaat over diepe verliefdheid en daar gaat mijn prompt totaal niet over.","De eerste!"
"2023/12/14 12:57:48 pm CET","3","4: Goed","Het geeft me energie","3: Niet goed/ Niet slecht","Omdat het net niet energiek genoeg is op dit moment","3: Niet goed/ Niet Slecht","Ik vind dat hij niet echt bij de topics past","1: Heel slecht","Ik haal niks uit dit nummer","Embeddings"
"2023/12/14 12:57:58 pm CET","2","3: Niet goed/ Niet slecht","Mijn persoonlijke muziek voorkeur kwam niet naar voren in de suggestie","3: Niet goed/ Niet slecht","Mijn persoonlijke muziek voorkeur kwam niet naar voren in de suggestie","4: Goed","Ritme/tempo kwam beter overeen met muziek die ik zou luisteren","4: Goed","meest het genre wat ik zelf zou gaan luisteren","based on everything. Dit nummer kwam het meeste in de buurt van wat ik nice muziek vind om te luisteren"
"2023/12/14 2:40:45 pm CET","F1","3: Niet goed/ Niet slecht","Ik ken het nummer niet goed dus weet niet zeker of het past","5: Heel goed","Nummer past heel goed bij mijn huidige mood","4: Goed","Past oke maar is een beetje te gemoedig","4: Goed","Past ook oke maar ook weer te gemoedig","2, nummer past het best"
"2023/12/14 3:03:20 pm CET","F2","4: Goed","Ik heb zin in kerst en kijk uit naar die tijd.","3: Niet goed/ Niet slecht","Ik vond de tekst opzich wel passend, wel iets depressiefer dan dat ik mij voel alleen soms klopt het wel aardig.","3: Niet goed/ Niet Slecht","Ik vond de tekst opzich wel passend, wel iets depressiefer dan dat ik mij voel alleen soms klopt het wel aardig.","4: Goed","Opzich is dit best wel een blij nummer en opgewekt en dat past opzich wel bij hoe ik mij momenteel voel.","Nummer 1, omdat dit nummer een kerst nummer is en ik nu vooral in de kerst sfeer ben en uitkijk naar die tijd met vrienden en familie en de gezelligheid."
"2023/12/14 5:18:12 pm CET","F3","4: Goed","I am indeed getting prepared for times of struggle and I need to get stronger.","2: Slecht","It's not really my mood/ sentiment as of right now.","5: Zeer goed","it is very closely related to studying which is the biggest topic in my life right now","4: Goed","Not so specific but a general idea, worrying about future","The 3rd one because it is about studying"
"2023/12/15 8:13:35 pm CET","B1","5: Heel goed","Het geeft de blije kerstvibe, en het past bij mijn herinneringen aan het skiien met mijn vriendin.","1: Heel slecht","Omdat het compleet niet is hoe ik me voel - de zanger stelt heel veel vragen en ik weet het allemaal al","4: Goed","Omdat het skiien waar ik aan dacht vandaag in een paradijs was","","Ik heb het gevoel wat ze beschrijft totaal niet.","Embedding. Die voelde ik nu echt"
"2023/12/15 8:32:54 pm CET","B2","4: Goed","Sommige dingen uit de tekst sluiten wel aan op mijn antwoord (zoals de dualiteit van mijn gevoel) en andere dingen kloppen minder.","2: Slecht","Ik vond de titel wel mooi, maar de tekst spreekt me echt niet aan / herkende ik niet zo veel in (het ging over de hemel en de hel en ashes en flames…)","1: Heel slecht","“What’s up I got a big cock”… Ik ben een vrouw. En ik kom nooit bij een thrift shop. Ik zie geen één zin waarvan ik denk ‘die past nog een beeetje’","3: Niet goed / Niet slecht","Het past wel bij m’n gevoel","De eerste, embedding. Ik denk dat die het beste past bij hoe ik me nu voel"
"2023/12/15 8:47:05 pm CET","B3","4: Goed","Ik voel dit nummer echt heel goed, ik heb de tekst zelfs nog nooit zo goed begrepen als dat ik nu doe. Maar ik heb dit gevoel alleen niet geuit in mijn prompts.","5: Heel goed","Dit nummer doet me heel erg denken aan hoe alleen ik me soms voel, en hoe verdrietig ik vandaag was. Hele goeie match!","5: Zeer goed","Het is een empowering liedje, die perfect inspeelt op m’n gevoel. Dat alle tegenslagen die ik vandaag voelde “can only make me stronger”, dat sluit perfect aan.","2: Slecht","Ik zit niet echt in de kerststemming of de heartbreak stemming.","De derde, die gaf een empowering nummer die echt perfect met mijn gevoel omgaat"
"2023/12/15 9:42:37 pm CET","B4","1: Heel slecht","Ik ben veelv vrolijker en dit nummer gaat over de liefde en ik voel het niet op die manier op dit moment","1: Heel slecht","Ik ben in een happy mood, en dit nummer gaat over de ‘hel’","2: Slecht","Het sluit niet goed aan.","1: Heel slecht","Het sluit niet aan bij mijn gevoel. Ik voel me blij!","Eigenlijk geen enkele. Ik beschreef dat ik heel blij was en dit zijn allemaal hele heftige liedjes."
